*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Prototype
*Date=12:16:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;38.3541;-39.2293;0;Bottom;Copper Fill178
2;;;66.9799;-25.6529;0;Bottom;Copper Fill220
3;;;26.8225;-43.3187;0;Bottom;Copper Fill177
4;;;18.0159;-28.0169;0;Bottom;Via11
5;;;10.3505;-44.8681;0;Bottom;Copper Fill137
6;;;52.2987;-51.7769;0;Bottom;Copper Fill102
7;10k;1206 [SMD];56.1161;-18.8469;90;Top;R7
8;;;39.5987;-1.71337;0;Bottom;Copper Fill204
9;;;37.0587;-1.71337;0;Bottom;Copper Fill117
10;;;67.1577;-26.8594;0;Bottom;Copper Fill112
11;;;67.1577;-29.3486;0;Bottom;Copper Fill181
12;;;38.3359;-48.3368;0;Bottom;Via14
13;;;49.7587;-51.7769;0;Bottom;Copper Fill159
14;;;57.3787;-51.7769;0;Bottom;Copper Fill104
15;;;53.5306;-44.8681;0;Bottom;Copper Fill135
16;10k;1206 [SMD];10.396;-31.5468;90;Top;R11
17;;;52.2987;-1.71337;0;Bottom;Copper Fill207
18;;;26.6066;-51.7261;0;Bottom;Copper Fill128
19;;;35.7959;-35.6368;0;Bottom;Via16
20;;;17.4753;-45.9857;0;Bottom;Copper Fill175
21;;;29.446;-25.4768;90;Bottom;Part2
22;;;8.4074;-16.8645;0;Bottom;Copper Fill136
23;;;27.9147;-51.7769;0;Bottom;Copper Fill151
24;;;54.1275;-44.2458;0;Bottom;Copper Fill222
25;;;47.2187;-51.7769;0;Bottom;Copper Fill100
26;;;34.5187;-1.71337;0;Bottom;Copper Fill116
27;;;25.3747;-51.7769;0;Bottom;Copper Fill93
28;;jst-4-pth;20.416;-9.77667;90;Bottom;JP12
29;;;29.4387;-1.71337;0;Bottom;Copper Fill114
30;;;30.6579;-43.3441;0;Bottom;Copper Fill174
31;;;35.5347;-51.7769;0;Bottom;Copper Fill154
32;10k;1206 [SMD];24.0859;-2.61683;180;Top;R5
33;;;52.6554;-26.7315;0;Bottom;TXT4
34;;;41.2751;-6.53937;0;Bottom;Copper Fill197
35;;;12.9359;-20.3969;0;Bottom;Via3
36;;;38.1763;-45.5539;0;Bottom;Copper Fill173
37;;;32.9947;-51.7769;0;Bottom;Copper Fill153
38;10k;1206 [SMD];35.7961;-13.7669;90;Top;R3
39;;;31.9787;-1.71337;0;Bottom;Copper Fill115
40;;;25.6359;-5.15686;0;Bottom;Via17
41;;;59.9187;-1.71337;0;Bottom;Copper Fill124
42;;;45.2883;-8.83807;0;Bottom;Copper Fill227
43;;;9.60022;-50.6068;0;Top;TXT2
44;;;17.4753;-45.9857;0;Bottom;Copper Fill107
45;;;37.9476;-19.4173;0;Bottom;Copper Fill186
46;;;28.7275;-8.83807;0;Bottom;Copper Fill233
47;;;52.2987;-1.71337;0;Bottom;Copper Fill121
48;10k;1206 [SMD];56.1162;-11.7868;-90;Top;R8
49;;;63.4493;-40.8295;0;Bottom;Copper Fill172
50;;;25.6359;-43.2568;0;Bottom;Via13
51;;;8.4328;-29.5137;0;Bottom;Copper Fill134
52;;;20.2947;-51.7769;0;Bottom;Copper Fill148
53;;;33.1725;-6.59017;0;Bottom;Copper Fill196
54;;;61.1959;-43.2568;0;Bottom;Via2
55;;;40.8306;-1.86577;0;Bottom;Copper Fill127
56;;;40.6147;-51.7769;0;Bottom;Copper Fill156
57;;jst-4-pth;48.356;-9.77667;90;Bottom;JP13
58;;;7.1882;-29.5137;0;Bottom;Copper Fill133
59;;;38.3359;-15.3169;0;Bottom;Via6
60;;;26.6066;-51.7261;0;Bottom;Copper Fill218
61;;;63.6906;-44.8681;0;Bottom;Copper Fill143
62;10k;1206 [SMD];10.396;-11.7868;-90;Top;R14
63;;;38.7859;-47.5859;0;Bottom;Copper Fill167
64;;jst-4-pth;41.016;-41.1768;-90;Bottom;JP5
65;;;26.0605;-5.23127;0;Bottom;Copper Fill237
66;;;59.9187;-1.71337;0;Bottom;Copper Fill210
67;;;24.0793;-2.29757;0;Bottom;Copper Fill199
68;;;54.8387;-1.71337;0;Bottom;Copper Fill122
69;;;39.6241;-13.6006;0;Bottom;Copper Fill189
70;10k;1206 [SMD];40.8762;-6.70679;-90;Top;R1
71;;;53.5941;-45.6047;0;Bottom;Copper Fill170
72;;;60.5283;-13.9181;0;Bottom;Copper Fill142
73;;;34.5187;-1.71337;0;Bottom;Copper Fill202
74;;;18.0341;-5.70117;0;Bottom;Copper Fill195
75;;;42.1387;-1.71337;0;Bottom;Copper Fill119
76;;;64.2875;-44.2458;0;Bottom;Copper Fill235
77;;;38.0747;-51.7769;0;Bottom;Copper Fill98
78;;;60.6553;-43.2806;0;Bottom;Copper Fill231
79;;;62.4587;-1.71337;0;Bottom;Copper Fill211
80;;jst-4-pth;7.99602;-41.1768;-90;Bottom;JP2
81;;;9.86348;-50.4199;0;Bottom;TXT1
82;;;20.8027;-8.01257;0;Bottom;Copper Fill194
83;;;18.5675;-8.83807;0;Bottom;Copper Fill236
84;;;43.9167;-47.5351;0;Bottom;Copper Fill157
85;;;16.091;-43.9537;0;Bottom;Copper Fill216
86;;;22.8347;-51.7769;0;Bottom;Copper Fill92
87;;;61.1506;-42.8107;0;Bottom;Copper Fill230
88;;;34.4946;-26.7468;0;Bottom;Part1
89;;;45.8725;-45.6047;0;Bottom;Copper Fill168
90;;;39.5987;-1.71337;0;Bottom;Copper Fill118
91;;;66.9799;-25.6529;0;Bottom;Copper Fill132
92;;;20.1169;-45.9857;0;Bottom;Copper Fill108
93;;;8.2887;-49.0171;0;Bottom;TXT6
94;;;25.3747;-51.7769;0;Bottom;Copper Fill150
95;;;26.6066;-50.1005;0;Bottom;Copper Fill129
96;;;32.5883;-44.2458;0;Bottom;Copper Fill232
97;;;35.7959;-22.9369;0;Bottom;Via7
